50000 100000
0 17972 7
0 19519 7
0 48497 16
0 21284 12
2 4400 3
2 8724 10
3 46550 4
3 42770 2
3 43838 2
3 30 16
3 21642 4
3 49974 6
3 48313 9
4 32161 5
4 6018 4
4 26826 1
5 16275 3
5 39907 11
5 27258 2
5 12842 10
5 11115 10
5 18104 16
5 9710 19
5 27521 14
6 34296 14
6 27990 12
6 26433 15
6 33587 2
6 12455 8
6 1758 11
6 15748 18
6 23521 18
7 19229 20
7 2572 11
7 35115 5
7 6687 6
8 45137 12
8 32518 3
8 11725 5
9 8786 18
9 6620 11
9 35369 2
9 26395 10
10 450 14
10 11066 12
11 5956 1
11 16564 5
11 10092 5
11 40199 2
11 2571 18
12 47599 15
12 41689 13
12 10106 10
13 12599 7
13 37716 3
14 34451 8
14 23160 1
15 35516 14
15 7318 3
16 31160 1
16 26116 16
16 1214 11
16 8938 8
16 44125 13
16 6683 8
17 7029 11
17 12400 8
17 49120 3
17 45924 20
17 14663 2
17 34133 20
18 42927 11
18 30827 13
18 30183 11
18 45160 8
19 11930 10
19 5057 5
20 36118 19
20 42958 17
20 4354 16
21 19804 12
21 49100 14
21 24291 9
22 32933 5
23 19660 10
23 40516 16
23 31800 13
24 13920 7
25 3803 7
26 35909 17
26 19829 15
26 48220 20
27 26714 12
27 47158 12
27 7916 5
27 19192 5
27 38580 19
28 1596 18
28 30008 15
28 23431 16
29 11620 18
29 27382 9
29 44736 6
30 10707 5
30 14870 12
30 42255 7
30 3169 8
30 49593 3
30 17838 17
30 49354 10
31 9740 11
31 38440 5
31 16020 10
31 33829 6
32 29901 5
32 27769 13
33 3358 2
33 22605 20
33 24370 1
34 8984 18
34 6785 10
34 6831 13
35 3943 11
35 2679 1
35 14512 4
35 37576 5
35 18084 15
35 46810 5
36 36011 16
37 39252 6
37 18822 11
37 13802 19
37 33139 18
37 5642 6
37 16519 19
37 47282 13
37 25102 12
38 21892 6
38 31252 20
39 46937 9
39 28692 6
40 45871 8
40 39638 6
41 3096 4
41 28874 16
42 3270 14
42 26122 12
42 11608 16
42 34798 6
42 46907 6
43 27466 12
43 16086 9
43 22398 19
43 47086 16
44 28036 5
44 31325 13
44 39924 1
44 48908 16
44 4069 16
44 16505 18
44 31147 11
45 19638 14
45 34144 6
45 18428 11
45 7676 11
45 27016 13
45 39926 10
46 43839 12
46 34227 16
47 41813 15
47 20409 14
47 7408 1
47 41434 14
48 49155 11
49 26198 10
49 15198 4
50 8641 18
50 30028 6
50 10631 20
50 35779 15
51 37006 10
51 28153 6
51 29229 9
51 14636 1
52 37530 8
52 10101 11
52 36796 1
52 48726 2
53 7121 10
53 39817 9
53 40110 12
53 40801 5
53 10381 11
54 16358 14
55 46095 13
55 43162 20
55 19454 9
55 47446 12
55 26457 18
55 1484 15
55 44492 2
56 2479 10
56 20922 4
56 29663 20
56 25139 10
56 38947 19
57 36789 18
57 9969 11
57 6415 11
57 44154 7
58 12276 3
58 4655 6
58 19939 6
58 4437 16
59 42800 14
59 40537 14
59 23463 9
59 9282 9
60 3856 16
60 16569 16
60 48871 6
60 40427 17
60 41345 19
61 40511 10
62 44152 4
62 31654 11
63 47888 11
63 25674 15
63 37880 11
63 23443 16
63 31926 20
64 14662 4
64 28971 4
64 32306 17
64 13597 4
65 30451 12
65 38217 15
65 35769 17
65 38130 1
66 16827 20
66 5319 11
67 40004 1
67 31143 6
68 32536 14
68 43637 17
68 11515 12
68 10112 19
69 15206 15
69 18078 8
69 6997 14
69 44174 20
69 41104 16
69 26407 9
69 34988 16
70 48003 12
70 14625 9
70 18049 20
70 36123 14
71 6237 12
71 8262 6
71 28324 20
71 13003 18
71 2280 17
71 42979 18
72 25926 18
73 9783 1
73 15596 17
75 33724 19
75 28280 17
75 14335 9
75 13001 5
75 11253 16
75 3834 7
75 14338 1
76 30885 1
76 47007 1
76 11207 5
76 39807 11
76 39609 19
76 441 20
77 32881 14
78 44470 16
78 9193 6
78 46262 16
78 37470 5
79 9295 20
79 10650 6
79 3072 20
79 21378 4
79 45233 3
79 47699 2
79 22759 7
80 35839 16
80 514 1
80 27493 10
80 48120 1
80 19768 9
80 45094 14
80 369 10
80 45274 1
81 42936 9
81 18518 12
81 14347 15
82 49619 20
82 10582 19
82 15288 7
82 20438 17
83 3155 2
83 6580 16
83 47015 1
83 44997 16
84 17886 4
84 18935 16
84 36295 18
85 22387 11
85 47298 4
85 27137 9
85 29790 4
85 22462 9
85 14066 2
86 11952 13
86 36526 4
86 48694 15
87 15695 3
88 7776 9
88 39201 5
89 41510 12
89 27136 10
89 16753 17
90 25632 15
90 31994 5
90 25770 16
91 7614 8
91 7519 16
91 6291 6
92 24861 12
92 803 5
93 11423 9
93 10430 15
93 14512 7
94 13522 17
94 6811 1
94 8320 13
94 42694 20
95 21955 15
95 32615 7
95 22367 18
95 22564 9
95 37719 11
95 16364 3
95 12444 12
95 40166 3
95 27639 19
96 13088 20
96 17833 12
96 41075 17
96 46928 8
96 44456 2
96 26484 13
96 15563 7
96 33707 16
96 6747 9
97 13640 10
97 2745 5
98 45374 12
98 5109 14
98 36832 3
98 46961 8
98 31705 14
98 49522 18
99 2582 10
99 49841 16
100 49747 16
100 19351 4
100 10918 12
100 20554 11
100 32876 7
102 40292 19
102 6277 1
102 46738 9
102 3741 20
102 29315 2
102 13767 6
102 11447 5
103 7746 8
103 32225 7
103 29295 17
103 35601 4
103 30267 14
103 16855 6
104 32863 4
104 31995 20
105 49816 19
105 44570 10
106 12818 15
106 38954 15
106 28694 8
107 2890 16
107 17751 9
107 41391 6
107 42621 4
108 27090 10
108 10943 16
108 32651 8
109 44244 1
109 41096 8
109 14811 10
109 32531 14
110 28577 7
110 48294 4
110 45075 20
110 25476 6
111 31061 15
111 6258 4
111 14755 18
111 19856 8
111 21419 7
112 31908 20
113 11043 11
113 9401 16
113 38721 1
114 38098 11
114 30054 20
114 15933 8
114 39636 19
114 45747 15
114 19473 4
114 33274 7
115 4681 5
116 10262 7
116 29524 5
117 47764 16
117 48364 10
117 40950 14
117 7028 11
118 40803 13
118 14210 2
119 49362 2
119 40690 11
119 1969 3
119 14363 8
119 7279 3
120 41540 10
120 3954 11
120 39410 14
120 48234 15
120 44219 15
120 9307 12
120 16699 4
121 44619 1
121 9963 8
122 4252 5
122 23617 5
122 21907 19
122 18067 15
122 3943 11
122 36340 3
123 19699 2
123 6949 14
123 27894 5
123 31896 11
124 38456 12
124 29864 18
125 46516 2
125 35912 5
125 11747 7
126 29553 14
126 18251 1
126 47869 16
126 36476 15
126 35745 6
126 8802 1
127 29359 11
127 4301 19
127 38432 4
127 48777 3
127 19157 4
127 28813 10
127 40358 5
127 47644 11
128 29748 10
128 26819 15
128 44767 16
129 3995 20
129 17666 14
129 11182 1
129 16156 1
129 45541 6
129 9356 15
129 17159 4
129 6450 11
129 31442 5
129 21908 1
129 43847 20
129 26989 1
129 13675 13
130 12442 19
130 43058 7
130 2414 19
130 31037 11
130 41744 11
132 9104 4
132 31958 15
132 26299 19
132 35633 1
132 40805 8
132 45949 12
132 25432 14
133 40572 17
134 39897 9
134 11892 13
134 28418 20
134 23948 8
134 36798 10
134 49762 2
135 4049 4
135 42108 5
135 36140 15
135 16217 15
135 28120 19
136 32033 20
136 30881 18
136 40346 12
136 26431 8
136 12229 16
137 15719 11
137 33640 1
137 25628 7
138 11516 1
138 6205 3
138 14162 10
138 13658 8
139 46283 2
139 3546 4
139 7580 7
139 23479 19
139 22155 16
139 22602 1
139 26546 2
140 2115 16
140 35593 13
141 24836 8
141 5249 11
141 41130 16
142 9741 1
142 1506 5
142 25826 18
143 22371 13
143 35378 4
143 37662 16
143 6220 20
143 47591 8
144 19271 4
144 5038 13
144 41856 20
144 37485 18
144 2671 17
145 43811 14
145 9095 16
145 23892 18
145 30531 19
145 27267 15
146 48367 1
146 39731 19
147 26016 1
147 23926 15
147 33790 1
148 313 4
148 49004 3
148 38274 11
148 10484 15
149 15419 15
149 34746 15
149 3459 14
150 42709 13
150 25659 2
150 41568 14
150 5854 2
151 36397 14
151 26137 4
151 22689 10
151 37873 12
151 7837 16
152 32539 7
152 43984 18
153 22299 1
154 5967 13
154 32789 19
154 2194 11
154 23807 7
155 21701 17
155 34825 4
155 43843 15
156 10129 11
156 37815 2
157 14265 2
157 45686 20
158 28160 10
158 6211 5
159 12120 14
159 27321 13
159 13201 7
159 11946 17
159 30889 10
160 1758 11
160 7371 8
160 40934 3
160 5787 14
160 5382 20
160 17217 19
160 36244 12
160 30520 1
161 47650 17
161 49144 6
162 48019 7
162 21192 2
162 38967 3
163 25162 19
164 22774 13
164 13820 11
164 5986 4
165 16323 13
165 25914 5
165 15816 2
165 38871 16
165 1173 17
165 15996 5
165 20922 20
166 5703 8
166 3266 17
166 2633 13
166 6041 16
167 14600 8
167 32808 19
167 30942 12
168 17509 5
168 33346 18
168 37778 10
168 48663 4
169 31665 12
169 43677 19
169 17151 19
169 21057 14
169 43598 17
169 18576 13
170 29185 7
170 1742 20
170 24896 10
170 4045 1
170 47350 20
171 2581 4
171 32239 18
171 37604 14
172 34577 9
172 45226 5
172 29732 15
172 46782 11
173 1516 8
173 47719 15
173 29542 14
173 24268 3
173 20842 16
174 8401 11
174 12051 1
174 49160 18
174 21332 8
174 7053 3
175 10258 9
175 15193 17
175 47574 16
175 4884 5
175 8619 9
176 28756 7
176 30985 4
176 21056 12
177 28391 11
177 36799 18
177 44624 13
178 7405 15
178 21788 16
178 7408 12
178 2054 5
179 15368 9
179 22097 19
179 28454 19
179 37948 17
179 28861 3
179 43185 1
179 49232 8
180 44406 7
180 48107 19
180 19446 13
180 16392 8
180 24226 8
181 24636 5
181 28835 12
182 1344 2
182 19749 20
182 41153 16
182 29908 5
183 3201 12
183 21686 13
183 40234 15
183 1434 6
184 37655 13
184 46228 17
184 6222 5
184 24546 14
185 18171 1
185 18054 15
185 9884 3
186 47807 13
186 4673 20
186 15149 5
186 11687 2
187 23704 15
187 33341 10
187 11141 11
187 49866 4
188 41374 6
188 13355 18
189 37878 15
189 44707 18
189 37856 14
190 22070 5
190 18660 14
191 6457 7
191 18470 7
191 11671 14
192 22064 11
192 4920 13
193 7502 11
193 45383 13
193 33926 13
193 5989 13
194 20430 8
194 7424 19
195 1855 5
195 3854 6
195 37111 19
195 25829 4
195 42351 13
196 18181 11
196 20870 17
196 6492 16
196 34901 14
196 22220 4
196 5091 4
196 5811 20
197 48877 7
197 48750 12
197 33252 19
197 38160 20
198 20646 16
198 39649 6
198 37486 10
198 14277 17
198 36964 5
199 33467 4
199 30967 20
199 40223 9
199 23906 7
199 45379 14
200 41488 17
200 28396 4
200 16323 11
200 41822 8
200 23922 8
201 8918 18
201 40701 4
201 18658 7
201 30311 1
202 6565 1
202 1037 19
202 7689 11
202 33189 13
202 21894 18
202 38379 17
202 26350 14
203 6176 14
203 46294 12
203 29840 16
203 6584 4
204 12933 17
204 30562 19
204 39542 8
205 12316 15
205 21355 6
205 28228 6
206 2101 1
206 42825 20
206 8587 2
207 15648 2
207 47300 1
208 6836 4
208 22339 14
208 22554 11
208 17383 3
209 28463 1
209 34046 17
209 33171 6
209 34480 17
209 49449 9
209 33583 2
209 48784 17
210 39034 3
210 16044 13
210 22307 19
210 22491 18
210 33672 5
210 44147 17
210 34037 13
210 46800 1
211 20392 15
211 28574 12
211 12041 2
211 6144 14
211 7575 9
212 29735 6
212 10660 7
212 32283 19
212 29983 9
212 38638 11
212 13412 19
212 11313 9
213 45302 2
213 48181 14
213 33197 2
214 4361 19
214 30083 3
214 22384 13
215 15021 4
215 20052 19
215 29558 13
216 14801 11
216 32480 12
216 45005 11
216 30202 16
216 5849 18
216 18399 17
217 48563 19
217 32507 14
218 34908 16
218 7958 19
218 29158 5
218 40551 15
218 18313 15
218 42701 5
219 4230 11
219 26808 14
219 28718 20
219 12861 6
219 23671 14
219 42160 15
220 9771 4
220 33826 17
220 47401 15
221 48444 6
222 17711 1
222 33203 10
223 7305 13
223 12991 11
224 36877 20
224 337 10
224 30159 20
224 44217 14
225 9214 20
225 39924 1
226 48803 7
226 29029 20
226 38798 13
226 41140 10
227 14594 1
227 36164 13
228 2644 8
228 36421 1
228 49929 4
228 12152 14
228 11349 11
229 24252 14
229 16848 8
229 22556 17
229 3195 12
229 47665 10
229 32667 14
230 22654 20
230 14388 5
231 13294 6
231 27419 2
231 32424 19
231 41052 14
231 46401 14
231 48748 10
231 11884 1
231 41434 18
232 2889 15
232 47652 15
232 13710 4
232 47671 7
232 31812 11
233 37838 5
233 18468 12
234 35883 4
234 13186 8
234 46458 7
234 31331 16
234 29945 7
234 15018 5
235 10485 1
235 37333 19
235 33798 9
235 3353 5
235 38943 6
235 5292 13
235 6221 6
235 41363 13
236 15175 5
236 45670 19
236 44852 15
236 13938 13
236 29101 18
237 49292 5
237 6013 15
237 2774 10
237 18403 10
238 18008 5
238 36229 9
238 42583 15
239 13012 5
239 14367 5
239 28413 4
240 47335 11
240 41995 11
240 21559 6
240 12930 6
240 25211 8
240 3742 12
240 25473 20
240 45650 4
241 12217 14
242 33776 10
242 41862 4
242 40691 19
242 13203 12
243 12326 10
243 39601 7
243 7678 20
244 820 6
244 26651 3
244 28375 14
244 17945 15
244 46140 10
245 30015 6
245 29488 10
245 25875 18
245 8415 9
245 32313 17
245 6971 12
246 48119 16
246 2910 9
247 1930 18
247 36189 19
247 18307 7
247 44898 4
247 30755 5
247 37237 17
248 29691 6
248 41652 17
248 25879 9
248 13856 15
248 34695 17
249 4650 7
249 43100 1
250 23647 2
250 29718 16
250 33908 7
250 14383 7
250 10461 6
250 23198 10
250 12798 18
250 16827 8
250 15662 16
251 6002 4
251 12881 19
251 24895 10
252 6315 9
252 36859 3
252 3005 15
253 46253 1
253 32660 17
254 48873 1
255 16547 6
255 7117 7
255 13379 11
255 5838 13
256 17683 3
256 9253 3
256 31995 16
256 7537 8
256 33770 1
257 30705 14
257 5928 12
257 34650 1
257 35224 12
258 31694 5
258 24052 8
258 23690 4
258 2532 2
259 32125 8
259 27417 4
259 36877 16
259 15968 8
259 40617 2
260 11091 7
260 1943 8
260 24313 5
260 4664 17
261 47056 7
261 38859 14
261 1285 3
261 43104 10
262 7001 18
262 2130 3
263 15225 15
263 34214 19
263 48477 6
264 16693 14
264 43570 11
264 29860 19
264 4565 2
265 29440 9
266 6253 7
266 42273 17
266 9514 6
266 42436 10
266 27368 5
266 30390 8
266 18522 12
267 1067 6
267 22928 8
267 48173 17
267 15095 9
268 16653 20
268 8718 3
269 7591 2
269 37512 20
269 8762 18
269 18885 4
270 44351 2
270 34472 9
270 2627 19
270 29111 12
270 30913 16
270 44785 6
270 18275 7
272 15830 14
272 31241 8
272 36844 10
272 45692 16
272 33774 1
272 804 20
273 12427 11
273 3649 16
273 23380 1
274 15710 6
274 7680 17
274 24212 17
275 16487 15
275 20169 6
276 27661 6
276 19470 18
276 2359 14
277 4509 5
277 6952 19
277 40650 18
278 21254 11
278 42382 9
278 38010 6
278 33613 13
278 34204 12
278 27934 14
278 6137 7
278 44318 8
278 45519 11
279 26755 8
279 18195 4
279 1114 4
279 40496 6
279 47003 17
279 38468 1
279 18131 18
279 31929 11
280 31229 10
280 17391 16
280 47368 2
280 30428 15
280 30881 11
280 7610 6
281 48398 1
281 13264 3
281 36720 14
281 37866 19
282 5582 1
282 10588 19
282 25251 17
282 38926 12
283 47536 4
283 15404 8
283 41360 2
283 31195 11
283 42978 18
284 32691 4
284 7394 11
284 21259 18
284 39400 9
284 15033 20
284 21710 15
285 2856 4
285 21390 14
285 37983 3
286 4446 18
286 24330 7
286 16821 14
286 1441 17
286 1859 6
287 12325 1
287 40488 7
287 20939 19
288 7583 14
288 14852 13
288 9663 7
289 4764 10
289 4358 11
289 15633 8
289 10934 4
289 2044 14
289 49842 7
289 401 6
290 27529 3
290 43171 20
